Time (s),Channel 1 (V),Channel 2 (V)
-0.0025803225,0.890498600434724,0.001477717108588238
-0.0025796925,0.8609231158669062,0.001477717108588238
-0.0025790625,0.8572261802959139,0.00282843340245309
-0.0025784325,0.8572261802959189,0.003503791549384594
-0.0025778025,0.8683169870088505,0.001477717108588238
-0.0025771725,0.8646200514378717,0.0004646798881895994
-0.0025765425,0.85352924472494,0.001140038035121718
-0.0025759125,0.8350445668700405,0.002153075255520664
-0.0025752825,0.8239537601571039,0.0008023589616558123
-0.0025746525,0.8165598890151494,0.00215307525552005
-0.0025740225,0.8054690823022094,0.00282843340245309
-0.0025733925,0.8128629534441554,0.002153075255520511
-0.0025727625,0.7869844044473149,0.001815396182054451
-0.0025721325,0.783287468876336,0.001815396182054451
-0.0025715025,0.7906813400182938,0.002490754328986416
-0.0025708725,0.7906813400182938,0.001477717108588238
-0.0025702425,0.7758935977343782,0.001815396182054451
-0.0025696125,0.7684997265924237,0.00249075432898657
-0.0025689825,0.7758935977343782,0.0004646798881895994
-0.0025683525,0.7684997265924119,0.00147771710858701
-0.0025677225,0.750015048737526,-0.001223715479141465
-0.0025670925,0.7093487574567581,-0.0008860364056752522
-0.0025664625,0.6834702084598991,0.001477717108587778
-0.0025658325,0.6686824661759903,0.0004646798881895994
-0.0025652025,0.6723794017469692,-0.0005483573322090393
-0.0025645725,0.6575916594630604,0.001815396182053376
-0.0025639425,0.6465008527501169,0.001140038035122025
-0.0025633125,0.6501977883210909,0.001477717108588238
-0.0025626825,0.6391069816081592,0.001477717108588238
-0.0025620525,0.6465008527501169,0.001815396182054451
-0.0025614225,0.6501977883210891,0.001815396182052608
-0.0025607925,0.6354100460371802,-0.002236752699540104
-0.0025601625,0.6021376258983702,-0.0005483573322090393
-0.0025595325,0.5799560124725069,0.001140038035121257
-0.0025589025,0.5947437547564124,0.001477717108588238
-0.0025582725,0.6132284326113069,0.002490754328986877
-0.0025576425,0.6058345614693491,0.001815396182054451
-0.0025570125,0.6243192393242436,0.002153075255520664
-0.0025563825,0.6354100460371684,0.0004646798881895994
-0.0025557525,0.6095314970403281,0.0004646798881895994
-0.0025551225,0.6206223037532647,0.001140038035122025
-0.0025544925,0.6058345614693559,0.0001270008147238471
-0.0025538625,0.5910468191854336,0.0004646798881895994
-0.0025532325,0.5725621413305391,0.0004646798881895994
-0.0025526025,0.5614713346176023,-0.0002106782587428264
-0.0025519725,0.576259076901518,0.002153075255520664
-0.0025513425,0.5762590769015248,0.0004646798881889852
-0.0025507125,0.5910468191854336,-0.0008860364056752522
-0.0025500825,0.5651682701885813,-0.0002106782587428264
-0.0025494525,0.5503805279046725,-0.000886036405674945
-0.0025488225,0.5281989144787923,0.0008023589616558123
-0.0025481925,0.5245019789078135,-0.0005483573322090393
-0.0025475625,0.5245019789078135,0.0008023589616551979
-0.0025469325,0.5245019789078135,0.001815396182054451
-0.0025463025,0.5318958500497561,0.0001270008147223116
-0.0025456725,0.4986234299109612,-0.002236752699540104
