#Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-58.93922729865453,0,-51.22469605856463,180
2.44140625,-58.89356031587859,14.46990272970953,-51.50963389485214,179.7268514769685
4.8828125,-59.99496018928959,31.03458992795181,-54.87272957312706,179.6536256775042
7.32421875,-64.45021514995156,47.82709031740437,-64.41407670734083,179.1932092546029
9.765625,-76.62376741346841,50.82103422647018,-77.7115670348575,177.8691004778179
12.20703125,-73.93734607216651,84.24367330961292,-80.53529904306151,2.393415258738683
14.6484375,-66.63634506023315,60.08801149103772,-81.76452987633846,2.352313883808252
17.08984375,-62.54424762613014,57.4426806688469,-85.52249227704411,176.5757193192234
19.53125,-61.0535058999494,65.05913374189171,-91.83295172410341,2.910375271087763
21.97265625,-61.72008051798518,63.51960911057594,-96.3746242818456,17.44595378310322
24.4140625,-63.79675112748762,67.9570964905454,-110.5881338010017,62.6260837025902
26.85546875,-69.09019724206587,84.83672928521258,-95.48186847797639,54.92895779588978
29.296875,-82.0703713825103,85.48030885651214,-90.57223806340858,93.87582840325391
31.73828125,-69.54844903564923,79.1244825854468,-90.37814045345259,85.06495298678354
34.1796875,-69.45376816660827,83.47112518836309,-96.67194189712029,28.39662471904173
36.62109375,-67.98531676029752,142.2264367962179,-96.26186022460865,92.40678774535535
39.0625,-64.20956165521491,169.2895981548426,-89.29261432580681,78.53465678623701
41.50390625,-63.77053745656815,177.1196475221344,-86.16387361752132,91.20082569050555
43.9453125,-64.26600987871042,177.77145820091,-87.25600421576078,104.3341012766998
46.38671875,-68.04850400348765,6.985337500954188,-90.39264379613273,151.2884610816381
48.828125,-71.39925108176487,91.43325689006377,-87.63910507721073,12.56461616686445
51.26953125,-64.53502911980593,126.5985950408487,-84.27027727643417,32.41804366984473
53.7109375,-61.26318761453868,129.7302595141103,-81.62075233438347,44.73761969338654
56.15234375,-60.64977194607525,132.2249190023074,-82.26534190635688,56.12560974518441
58.59375,-62.83512217975768,151.8664490708976,-84.69383900698176,63.19044629330055
61.03515625,-63.84764223977563,8.371201223804748,-88.22793264795855,55.17912792858435
63.4765625,-62.76066715932789,39.66608322339987,-106.9561263458059,50.5534306660044
65.91796875,-61.12999801406836,56.50703130604878,-90.66780489703147,49.18925413528764
68.359375,-60.40895442445206,59.06379753712023,-89.14482859218056,57.52055686518751
70.80078125,-61.48174840887404,57.78815814478413,-92.10697099000438,58.24553069236903
73.2421875,-64.41035387763461,63.08514875555731,-98.09828972363943,29.22390600290256
75.68359375,-64.32512510612902,73.48310376319178,-104.1335784250714,76.62909207857309
78.125,-62.47157264407825,74.23895556606232,-96.12883181783884,32.95307679558109
80.56640625,-62.76217300265579,69.82719837560694,-96.65138399261363,31.33968110812109
83.0078125,-62.72317672861679,51.31077268425145,-95.80717436015465,169.4558162673072
85.44921875,-62.256286769932,31.9206461673251,-90.70032122461031,136.6669114329747
87.890625,-63.27811737182018,17.84132203187214,-91.94199828232681,122.7396691305156
90.33203125,-63.23757732020301,15.89755672228492,-97.20383965996392,88.9128689504121
92.7734375,-61.84210202920723,30.17823590783056,-93.52600221814753,75.45539774394368
95.21484375,-59.46459092762349,50.4761641688638,-90.07860578937139,87.05786455083823
97.65625,-57.38176174395279,55.96202912980051,-88.09271723166486,81.82674101825312
100.09765625,-56.95244113493422,51.33330276253462,-86.13581956915144,88.57329568300271
102.5390625,-57.83186623599035,54.16905673430043,-86.4097408558861,103.3088973606861
104.98046875,-60.6719977626307,58.43514385533177,-92.23667997247156,85.02335909682019
107.421875,-66.24171561358834,60.4289633240446,-91.54310261480606,7.78641782428571
109.86328125,-70.04793195990781,109.6767111497846,-89.68595237948287,170.2343603280484
112.3046875,-66.74444246746677,144.6310380746561,-90.24488988958856,159.9972155126853
114.74609375,-66.97266928759343,138.5487579601063,-89.97719949546061,164.3201727902408
117.1875,-69.75414061172863,108.996492541889,-91.58022105504546,172.2014363780031
119.62890625,-71.35659362675423,74.44671579762368,-93.42444809319844,140.2404921472207
122.0703125,-70.22831515980228,69.28550555186216,-88.18285722494525,132.0324863526808
124.51171875,-70.72951535977256,86.602220695743,-85.30497562401334,154.8833203432197
126.953125,-69.87746195585358,125.5752074852131,-83.9205589348485,174.2651906457152
129.39453125,-66.86780679551178,138.019284625372,-83.59507607807849,6.244343423421749
131.8359375,-69.54534866049823,140.5190872575917,-84.5332667894131,27.94681513540259
134.27734375,-81.63066959286209,44.79163382691222,-86.42540190511566,61.41839508273722
136.71875,-72.34955441138635,132.4548994413585,-88.18635905891902,102.0278548721689
139.16015625,-69.03316188629236,146.042398335956,-90.58237648988006,136.8574386518062
141.6015625,-70.77284221022261,155.4392745606993,-95.40908457462453,26.43242052302971
144.04296875,-72.06994889175634,40.13413109440463,-90.4197512832115,101.6537626040666
146.484375,-67.83084287218925,67.6120818857439,-85.06239590598197,136.9223241245742
148.92578125,-64.49041169271581,64.67631649759461,-82.42497220480571,153.9777720231687
151.3671875,-61.98986784794766,62.24986718511899,-82.52823979701876,164.3333400009911
153.80859375,-61.34704496107626,57.76266297282191,-84.22915991407775,172.1591096103596
156.25,-60.73060706916728,45.48088091709234,-88.60598563854312,173.0102899512454
158.69140625,-60.88212189543955,33.03911270087146,-99.68891856238244,111.1189931232882
161.1328125,-61.8094196831622,14.24674060550878,-91.97411533263754,29.7557895791433
163.57421875,-61.93350556474901,175.7786178209415,-90.47528291100933,14.87189149260358
166.015625,-63.47575431695198,174.5401160069551,-92.06432117033329,11.21467120119611
168.45703125,-64.71176043060036,179.5863290091116,-91.3441492776837,19.46891424244665
170.8984375,-65.83184134268069,171.0351105384779,-88.23689823071584,19.95527645131686
173.33984375,-72.09980147135452,165.8508207951167,-86.49569812738015,16.52753789865901
175.78125,-83.95745839858668,79.58814560468564,-84.9900201346081,16.11189906065442
178.22265625,-71.80227204793036,143.1667496236115,-84.366326319507,17.75603020518274
180.6640625,-65.88332457417292,140.0047320853973,-86.54523893526621,27.23480865207598
183.10546875,-64.0734114338243,114.6449306846537,-92.04000374567686,50.75410069308047
185.546875,-64.42114593175368,90.41679375464864,-108.1739008759051,142.9012494802481
187.98828125,-67.057721493266,59.49455890441168,-95.69945267949137,66.88855491496474
190.4296875,-65.54302706671228,11.84600927203973,-89.6324085240754,74.39918978565581
192.87109375,-63.28986583463547,171.4052034967868,-86.41018266544548,73.73604332736217
195.3125,-62.70425821683632,169.0416272349717,-88.34060417801504,85.77505352054975
197.75390625,-61.66737974001342,0.9465633430257886,-91.97791336833183,105.3032061902745
200.1953125,-60.30444784493697,17.915920613418,-95.59206783734597,112.1688895380406
202.63671875,-59.30672510360453,30.60115643671478,-102.1971676347221,155.5477553089442
205.078125,-59.66752467822288,41.91252303928988,-107.0435802606507,142.5943162572007
207.51953125,-60.34969500203484,55.85280267329096,-91.42927226969113,170.8383522693436
209.9609375,-62.48110734499735,63.04711729275835,-86.55422306351716,162.8958679304435
212.40234375,-67.04838142863936,99.19911602851855,-84.77564902446372,150.1302026757994
214.84375,-64.29656551413261,148.4500989227457,-85.16978602072719,138.0151794518844
217.28515625,-64.54380268142008,172.8060073354278,-87.73898864870364,112.0266752705103
219.7265625,-65.11090659262047,21.50734036087021,-88.05569787876018,72.64471006524131
222.16796875,-65.87689349404197,35.31729092501207,-88.73470632465961,52.443551491265
224.609375,-69.00764739999104,76.41644369709678,-91.70274775414009,41.89031844901172
227.05078125,-68.32305193419916,130.7607418003704,-98.127956499009,54.63062384958509
229.4921875,-68.74499644592372,10.36590194122039,-101.1581512096434,51.31819214424491
231.93359375,-64.61643433220476,49.91968942419616,-87.98496215549163,57.06225409795849
234.375,-62.74255508851159,58.65599843451022,-84.06828566606129,58.15262852523701
236.81640625,-64.11556811498923,71.2424027238971,-84.40345101611857,63.36225507663145
239.2578125,-70.12527623504725,107.1328281697149,-88.9887701483152,61.66505642475796
241.69921875,-67.85884389501611,31.34164424284036,-109.9180089768043,139.4116462056986
244.140625,-61.60552597710318,47.99500196488713,-92.74171202710767,55.35276826255065
246.58203125,-60.6233436343453,44.49312423597512,-97.65725784798484,19.55235719855896
249.0234375,-60.97334765389731,39.19825999247719,-94.93861479091377,78.12104377892112
251.46484375,-62.44480319596341,35.62794697218851,-90.44066832683546,54.90458791121689
253.90625,-67.87271936602332,28.50454638176312,-90.92296514218103,47.13862097856406
256.34765625,-76.32574641606534,17.82324142010477,-108.6994718253323,47.89396128712121
258.7890625,-74.89011995503782,139.6587014924635,-88.2387402490358,40.47620051497097
261.23046875,-68.83952750953962,96.92704643063632,-83.98238380937397,37.39220387517022
263.671875,-68.62741204869822,68.88121340140269,-83.89292725462491,26.65112576318689
266.11328125,-71.60201657196438,52.52514720474723,-84.35918581842628,16.88313815179218
268.5546875,-71.05455432589208,39.6351007361973,-85.99541119918037,15.20329998453841
270.99609375,-68.79424142134883,10.58611721380042,-89.12100937183067,174.2363783050465
273.4375,-66.50229791741023,178.3863416458885,-87.71058946672963,134.7910880472291
275.87890625,-63.72962031329286,17.99128433803076,-85.68240831600049,123.0558548983928
278.3203125,-61.09173705469217,26.05184154444534,-85.08480268982332,124.3268137470044
280.76171875,-60.4897062157044,22.4995052727676,-83.66362620314334,138.1713468244474
283.203125,-60.99274199109944,30.24788508065722,-82.85454601683563,151.8910848908836
285.64453125,-61.36439699825014,55.74021447300326,-83.32225024503983,158.722931264488
288.0859375,-60.7214088438686,78.96639241488296,-84.1296630419132,159.5642927710731
290.52734375,-59.97525258603608,85.75102534640857,-88.47298151897132,153.7951245895808
292.96875,-58.98133239366701,87.80577184834229,-99.15874913073539,89.58766375217891
295.41015625,-58.05572819013348,95.80784717049342,-94.67344062424011,160.5514578874982
297.8515625,-57.51601251899256,104.3149940579259,-88.95814053137046,119.8136343451942
300.29296875,-56.98444881040359,109.1103972119766,-89.1771569142111,92.90741412479694
302.734375,-56.40249678367247,109.701037149559,-87.8563972994982,54.3630933139077
305.17578125,-56.77151837479911,106.9396243012791,-84.56041853536684,41.13114626121116
307.6171875,-58.2084246031906,98.33912284492052,-83.88628685688509,31.64144481857909
310.05859375,-58.7123656236076,80.2535515188014,-84.04641521695963,37.8983628046646
312.5,-58.08611821178525,64.53014864911493,-82.95502528446677,59.11729630592748
314.94140625,-58.06621885096114,56.58904101830726,-83.58631823883161,74.7946170660438
317.3828125,-58.30737931773277,49.6842650368972,-85.80741571818476,93.83695929574148
319.82421875,-58.91845291319963,39.99578835934244,-86.58739331888899,106.6352459039637
322.265625,-61.54800593592878,30.9111756181747,-88.57547951107375,118.8108191390886
324.70703125,-64.89113746314217,10.38356672731738,-93.37676394192931,122.3447210256535
327.1484375,-65.46538444718806,164.7455356522989,-93.00669143280291,63.78109229143427
329.58984375,-68.23183459130141,139.0016191976281,-88.42980795922422,32.75939737448607
332.03125,-67.57137364116022,74.52030461715334,-85.8191469258787,14.16517989749349
334.47265625,-62.00205162757523,54.51120576750767,-85.20390863715346,9.120130429257912
336.9140625,-59.88026677732784,51.26330996410795,-86.41136612557132,1.369210633884109
339.35546875,-59.00017350478393,51.27554602548734,-87.00247288092037,175.8090179365149
341.796875,-59.56956482544108,60.17100723676732,-86.21019529306857,5.029031809060798
344.23828125,-62.39337129673453,76.11563668946525,-84.85431005379044,0.9892782554639683
346.6796875,-65.25264139836219,89.88394426665576,-84.01501480906194,172.9047589466946
349.12109375,-65.21156489490784,112.2908899576424,-83.74229565777993,173.1616375909302
351.5625,-61.90948412932894,131.9936477093198,-85.59915474738837,157.9276685090695
354.00390625,-60.36647792448025,136.7286470434568,-88.39202510512877,107.554938226804
356.4453125,-60.16667388312981,141.0417281686501,-88.877996937142,60.29112639586076
358.88671875,-59.95305248523086,147.6105889023343,-90.13344115597179,21.40106068677709
361.328125,-61.34095665337541,164.043792224113,-90.57762203542893,158.8001926737684
363.76953125,-62.83853278298126,12.68014870850453,-87.45869585236571,121.9611000258418
366.2109375,-63.08953321694168,30.51347542840866,-85.1608614304846,120.9345435478645
368.65234375,-61.52465136066213,39.26461748891228,-85.15993313049627,151.1524845994191
371.09375,-60.29664286127448,41.04982847114092,-83.26011680207711,8.938741916993825
373.53515625,-61.59293461062621,40.29950049988248,-81.25181444135529,23.64695217459063
375.9765625,-65.03163153857241,37.00244016129697,-81.27099367659355,20.40415392139828
378.41796875,-70.7358405795412,15.59343631160914,-83.52626282500852,4.883671343168918
380.859375,-74.82906952238491,104.0970350683441,-84.97677795069924,157.1628622888052
383.30078125,-65.87034492940707,52.93441899106936,-83.75963360416713,138.7167909000574
385.7421875,-64.00577225795891,44.30830955533042,-84.65736277379628,125.3423496682845
388.18359375,-68.71789341871646,42.01715120227376,-90.44618150765339,113.2686705780411
390.625,-77.96114059372886,135.6143600383586,-103.134539682767,49.48363504725886
393.06640625,-65.97745301313429,79.45053118808245,-94.17759511056323,172.8005147543737
395.5078125,-62.55272271378104,62.9870564701041,-93.6290062018914,139.5308148786451
397.94921875,-62.37027897985642,46.44871214835528,-92.09761739140505,79.55158968724689
