Time (s),Channel 1 (V),Channel 2 (V)
-0.00257985,0.8498323091539561,0.001140038035122025
-0.00257922,0.8239537601571156,0.001477717108588085
-0.00257859,0.8054690823022094,0.001140038035122025
-0.00257796,0.8128629534441688,0.003166112475918382
-0.00257733,0.8165598890151461,0.001140038035122025
-0.0025767,0.7758935977343782,0.0008023589616558123
-0.00257607,0.7648027910214465,0.001140038035121872
-0.00257544,0.7721966621633993,0.0001270008147233865
-0.00257481,0.7389242420245893,0.001477717108588238
-0.00257418,0.7241364997406805,0.002828433402452475
-0.00257355,0.7315303708826315,0.001815396182054451
-0.00257292,0.7315303708826265,0.001477717108587317
-0.00257229,0.7204395641696948,-0.0005483573322090393
-0.00257166,0.6908640796018637,0.0001270008147233865
-0.00257103,0.6871671440308948,0.002153075255520203
-0.0025704,0.7093487574567581,0.001140038035122025
-0.00256977,0.716742628598716,0.0008023589616558123
-0.00256914,0.716742628598716,0.0008023589616558123
-0.00256851,0.7019548863148003,0.002153075255520664
-0.00256788,0.7019548863147986,0.001477717108588238
-0.00256725,0.6982579507438215,0.001477717108588238
-0.00256662,0.7056518218857792,0.002153075255520664
-0.00256599,0.6908640796018569,0.001477717108587624
-0.00256536,0.6760763373179481,0.0001270008147233865
-0.00256473,0.6465008527501169,-0.0008860364056752522
-0.0025641,0.6280161748952309,0.0008023589616550445
-0.00256347,0.6354100460371802,0.001477717108588238
-0.00256284,0.6501977883210874,0.001140038035121718
-0.00256221,0.6317131104662014,0.0004646798881895994
-0.00256158,0.6169253681822858,0.0004646798881895994
-0.00256095,0.6243192393242386,0.001815396182054451
-0.00256032,0.6132284326113069,0.001815396182054451
-0.00255969,0.6132284326113069,0.001815396182054451
-0.00255906,0.6095314970403297,-0.0002106782587419052
-0.00255843,0.5984406903273913,0.0004646798881895994
-0.0025578,0.5799560124724968,0.0001270008147233865
-0.00255717,0.5836529480434758,0.001477717108588238
-0.00255654,0.5614713346176023,0.0001270008147233865
-0.00255591,0.5651682701885813,0.001477717108586856
-0.00255528,0.5651682701885813,-0.001561394552607678
-0.00255465,0.5540774634756446,-0.0005483573322090393
-0.00255402,0.542986656762713,0.0008023589616551979
-0.00255339,0.5281989144787923,-0.0005483573322090393
-0.00255276,0.5208050433368345,-0.0002106782587428264
-0.00255213,0.5208050433368345,0.0004646798881895994
-0.0025515,0.5097142366238979,-0.0002106782587428264
-0.00255087,0.5023203654819434,0.0004646798881892923
-0.00255024,0.5097142366238979,-0.0002106782587428264
-0.00254961,0.4949264943399823,-0.0008860364056752522
-0.00254898,0.4616540742011874,-0.0005483573322091928
-0.00254835,0.4505632674882356,-0.0005483573322090393
-0.00254772,0.4468663319172567,0.0001270008147233865
-0.00254709,0.4394724607753023,-0.001223715479140851
-0.00254646,0.4394724607752989,0.001477717108588238
-0.00254583,0.4431693963462828,0.001140038035121718
-0.0025452,0.4542602030592144,0.0004646798881895994
-0.00254457,0.43577552520432,-0.001561394552607678
-0.00254394,0.4062000406365023,-0.001899073626073737
-0.00254331,0.3914122983525733,-0.0002106782587428264
-0.00254268,0.3766245560686577,-0.002236752699540104
-0.00254205,0.3507460070718172,-0.0008860364056758666
-0.00254142,0.3544429426427843,-0.0008860364056752522
-0.00254079,0.3470490715008316,-0.001223715479140237
