#Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-56.07592259812102,0,-51.81414442680031,180
2.44140625,-56.28248991787419,179.4604474908161,-52.11823013857593,0.2045508554224155
4.8828125,-59.39711594902274,178.7506528198536,-55.67957435163906,0.1795535726806788
7.32421875,-68.14103446719267,176.7140348132072,-66.39072665314859,0.2795878223964978
9.765625,-79.29642477708329,178.0958423311,-87.65011949287501,3.123318357968834
12.20703125,-85.39733533040663,175.8998786395526,-90.52731235903899,167.3403769227453
14.6484375,-92.15272028778513,75.77785750681333,-89.85082892497641,144.3332670785651
17.08984375,-83.14658537247639,29.64694568806019,-91.64523930763465,99.66259168038168
19.53125,-79.48186829759246,27.26365991576424,-89.3845068150906,62.04223114680304
21.97265625,-77.72125237593957,37.53166253031222,-88.80180994202371,56.55213543088153
24.4140625,-77.3894692595938,42.58630217370008,-92.25323392065775,73.17999376024574
26.85546875,-78.3587022952928,38.17252640729802,-91.25687687821278,112.1471152406442
29.296875,-80.72455858792688,37.86482980565221,-87.60358778733,119.7746659330027
31.73828125,-85.72191202328983,30.90440245293129,-86.57070003122301,127.6404995635206
34.1796875,-89.42281898458955,159.2836597981829,-86.12458668697883,140.0020927190661
36.62109375,-85.15216589234061,112.3532729056571,-85.11291244572048,162.8238108421309
39.0625,-82.8622067303962,106.2211869410932,-82.81762056712628,11.21215935187741
41.50390625,-82.73876698455071,125.6451245137509,-80.90703934408987,26.35345334317262
43.9453125,-80.51137514172129,143.5453960119019,-79.4449424448165,40.54551194850688
46.38671875,-78.43068305855277,158.6798920574104,-78.29192948398494,59.84936946359865
48.828125,-77.97838534464481,175.4024219228752,-79.01888959608114,73.44121162380668
51.26953125,-79.27974620145227,8.589025597657605,-81.00388476563742,82.8881181329168
53.7109375,-80.70230502567739,17.00824029495388,-83.53580455079012,104.4210671668127
56.15234375,-82.36844338542875,19.58116836205562,-87.21698489136148,153.9438867880765
58.59375,-86.01504290014606,15.74260380608685,-87.2866792035886,12.92190901813539
61.03515625,-90.77170196175737,4.782667617026148,-87.24568011774507,9.3414391660035
63.4765625,-93.9531878120292,168.341571049027,-88.03172602742663,17.72403190312917
65.91796875,-98.63853684431905,149.4218271237352,-88.33085743540406,41.41855420316816
68.359375,-106.3669161074415,129.2758003018258,-88.42142247242725,54.38391439902382
70.80078125,-89.6238807467046,80.21792345052843,-89.11838040738357,89.90813251734757
73.2421875,-83.05534785952177,68.19577955905405,-89.94689920382413,149.3900216444282
75.68359375,-80.87801126330771,58.6876983643274,-87.52791174392544,23.75977348881621
78.125,-78.52846303835426,35.85208009387203,-85.97408619245738,33.03305022183431
80.56640625,-76.50678186318882,15.6097756470047,-85.14507545098741,40.47756889065474
83.0078125,-76.09947306615533,174.9578777370376,-86.27921721405062,43.64346705808588
85.44921875,-75.61964201616463,156.5018426428093,-90.7783529799721,13.60967995992922
87.890625,-77.08339003286147,137.912792456471,-91.95207050796951,157.237586685759
90.33203125,-80.27147259969846,104.9939922902696,-92.32797912943528,135.0986092493191
92.7734375,-80.54130327742216,77.77327930572218,-99.96932625384221,132.7529436406973
95.21484375,-78.80082393910966,66.56886412052091,-95.20263241986592,92.46674590985916
97.65625,-81.36859997485145,69.29766100166444,-93.12644202610173,96.41820188365578
100.09765625,-88.60026171492125,122.2957984105537,-92.82076101929002,88.90112518564702
102.5390625,-91.8391994586578,157.4099477158837,-94.51083271019255,69.65515363317756
104.98046875,-92.52606173873149,77.27737448308645,-98.01266896639819,147.5776947011258
107.421875,-83.72471152500624,118.4643345245728,-94.10700876279355,126.2748250928762
109.86328125,-78.47209383536163,140.4225380653226,-96.57919605396319,177.6475763117568
112.3046875,-77.02671696481839,141.1551541901321,-90.28666724114301,34.18147268258147
114.74609375,-79.02371911458962,140.5989976716477,-87.5809606375106,38.64122217099575
117.1875,-84.68596750118381,130.4036011124678,-88.53047252554065,49.21862958954087
119.62890625,-87.01554059546302,25.08826526321295,-95.83724182039767,80.94045935967006
122.0703125,-78.65110697781903,164.6276394441415,-92.31845102372492,10.03726432033336
124.51171875,-75.22005446836484,158.0932254381161,-85.05363463635304,8.040733609200704
126.953125,-74.68959512096974,166.604532957817,-81.50648924081796,3.671484016659862
129.39453125,-75.57432183361685,174.6286287106652,-81.64376561375406,4.831696187092433
131.8359375,-77.00163772463168,177.5313395881866,-83.96588941849794,3.887553797995946
134.27734375,-79.19645951361088,5.902150709003059,-85.96976603791566,10.36289992399223
136.71875,-81.23925098089002,12.14435923292764,-86.47560012947909,26.19402706992019
139.16015625,-81.90446121290373,1.923872243642074,-83.87011681047352,22.61848513716537
141.6015625,-84.68194686801219,177.3990525389926,-80.7576613843132,11.62315990205067
144.04296875,-96.99696902531431,59.02976338867599,-79.74226605849208,2.348523995149728
146.484375,-86.03871100449632,153.3096955372816,-80.14421961405789,168.0688704137991
148.92578125,-79.53037427298356,153.6474129680934,-81.200003880013,153.4370834041462
151.3671875,-76.96432274075507,137.7057161430164,-83.65729134192735,146.435794741153
153.80859375,-77.67967561364783,110.074683850917,-85.1393009383076,134.8004266327518
156.25,-77.88009298859384,82.65147769370527,-85.09788478937864,129.9686947864432
158.69140625,-77.09500617785086,65.95941520466116,-87.76297903561161,147.7583252712919
161.1328125,-76.54987376675872,43.62117825414376,-89.76239362024248,144.2113598131332
163.57421875,-76.72542644901286,20.003563861735,-86.62964000264532,108.9417982493783
166.015625,-77.20073932022632,6.41271939303465,-86.5025810696322,100.1557062414998
168.45703125,-77.77023207832839,2.355815625207871,-89.78982350275368,102.2181374376107
170.8984375,-79.78332227329415,3.91225868814113,-92.39635760043384,113.1273724104981
173.33984375,-85.85952953201321,23.04824784795271,-103.8345437087505,157.8554286883188
175.78125,-89.34933956791718,132.1201932044684,-93.97513569992586,99.55523033029421
178.22265625,-82.1705963640221,150.049434666235,-91.86623752981012,108.5416272305478
180.6640625,-79.10510915919785,152.348029230228,-93.09198233760139,100.080105292323
183.10546875,-77.50415304228599,168.3934737035646,-91.8855421876174,85.96513914708311
185.546875,-76.8814523642337,1.225937526748814,-91.17685022519213,102.0163238249447
187.98828125,-76.76596148708444,7.065796165273617,-91.35232427341508,127.0411719252052
190.4296875,-78.77219277518726,25.31984835036621,-92.42516655486727,158.9895156544371
192.87109375,-81.29267703309112,71.3764350166464,-87.03255660810326,26.42039737249117
195.3125,-83.70974209841404,109.8265508347476,-82.41697341529994,41.12240178211908
197.75390625,-84.12898634094171,153.8960733333296,-82.72562781015819,45.16170640867175
200.1953125,-82.12870668638578,170.7043114079854,-84.42570282422699,37.07733036013905
202.63671875,-85.22287744299979,12.02838348329132,-83.29227773608989,21.59562636775174
205.078125,-91.26537073717824,49.05705463875241,-82.04219947322196,10.79717416940462
207.51953125,-95.63004116212869,39.11909897692637,-82.53691650594286,9.451063555474313
209.9609375,-93.42375361310872,150.0380933077446,-83.57857318143959,17.29352261816078
212.40234375,-87.89325240958678,110.711182278403,-84.27570884386799,13.8736021093547
214.84375,-84.38510567397275,114.8395345983497,-86.01796398955238,177.6017002090997
217.28515625,-80.7684465390527,120.1071169511797,-87.38125177946958,173.5722997785045
219.7265625,-80.97031413499343,121.0064161533234,-86.66699712548316,0.9273620570895008
222.16796875,-85.81999195289974,139.3674365281282,-87.48587073335221,8.1785623011938
224.609375,-89.65502771113906,172.5816740189418,-87.87931123848119,52.80262407176773
227.05078125,-91.9485256073435,39.71381273434121,-84.00343636650842,85.11978597715928
229.4921875,-88.62741664673401,132.8199837683778,-83.69956613366475,93.41331542719399
231.93359375,-82.28083232691462,178.9229131249625,-84.75404990870189,100.7085242811268
234.375,-80.2207544294729,8.196195686501447,-85.5469616036482,107.1480868246796
236.81640625,-78.6079262436234,172.1657533831891,-90.59977809341129,99.38163492177448
239.2578125,-77.53076949223876,157.1015384380696,-96.0923598287597,126.826556296376
241.69921875,-77.56612095299715,145.9675641180365,-88.64281080245885,144.5990889555543
244.140625,-77.64915915353018,140.7135581145832,-88.0648235971489,136.8879274226812
246.58203125,-79.70734765359023,138.8211352372977,-89.97065511217107,150.5699649870094
249.0234375,-85.22369452751437,117.9789496647989,-87.50427080457052,170.4697700862625
251.46484375,-83.78319656105262,39.97306534299342,-88.77707790995579,176.2499244934768
253.90625,-77.77731096366571,15.9278943137038,-94.49665255747544,1.389853201324299
256.34765625,-75.25975566927166,6.158845250282853,-93.34695294169451,150.8772047990915
258.7890625,-74.87515962061936,0.741249906607323,-90.71812392337259,136.8313022901956
261.23046875,-75.6177977908694,170.9607467384872,-98.30209897877289,103.8769064849236
263.671875,-76.13727353505583,149.7329889406186,-99.72784141486294,17.07093892916613
266.11328125,-76.95131790387967,133.0997562634402,-106.051223392765,144.7697934489963
268.5546875,-78.11477784385826,117.2653891448928,-100.5347281767448,148.013455818922
270.99609375,-77.32656959155271,103.4276302635456,-95.6685078089107,39.23193933844167
273.4375,-77.95122850416536,99.22638818265364,-92.48733653507827,87.00406129571792
275.87890625,-82.80970028600414,102.6964153763226,-95.65663784620283,114.4323973597872
278.3203125,-87.18953046248588,133.3651984642713,-110.1286813642836,50.90990013239674
280.76171875,-84.75094333490708,155.2215696052127,-100.9603344612913,16.43740767428773
283.203125,-83.74246807890538,3.997935053528082,-98.67175800297932,22.92659257339827
285.64453125,-82.93131804318193,24.35224058102333,-93.75381079847233,12.07435575913088
288.0859375,-84.24495077697034,44.32503994424381,-90.39108427238179,52.7998479038094
290.52734375,-82.8966244327361,91.7194249656655,-85.37914869554834,84.43335018551356
292.96875,-80.8537155695669,116.3638526960568,-84.229300468801,86.54215869912241
295.41015625,-81.00102139887937,132.67871044795,-85.16635193073822,92.1426150646633
297.8515625,-83.87561912096601,144.6034840892515,-86.06494039023124,108.3740475246706
300.29296875,-95.0757233407754,111.5743802573144,-87.88060357137253,121.1561381696899
302.734375,-87.45663683406215,28.19233329659135,-90.14582085583433,162.9540074900245
305.17578125,-85.40417001702087,21.09973617573891,-88.34248372334287,32.48036109213557
307.6171875,-91.24400633622378,33.2953743590352,-88.31758578167825,69.70449587622073
310.05859375,-96.90088219142399,129.3594432394075,-85.02662002047289,109.1965660804963
312.5,-92.84036061117915,90.06486014786152,-81.6371348341159,118.689820277855
314.94140625,-82.46695910341606,115.4482599167661,-81.98579106334165,121.3486712554953
317.3828125,-79.10474987026321,124.8000948848151,-84.42646827239598,123.7624686661399
319.82421875,-77.08347867550989,136.1958238836905,-87.43367340259043,98.78593800668519
322.265625,-77.11655845878512,139.1853446617113,-87.70319076565799,55.59081611244717
324.70703125,-81.94237347055754,122.3092658388517,-89.05755173807259,36.25180958668126
327.1484375,-87.32626660763316,62.09934596846379,-93.58998448466244,39.73058154190397
329.58984375,-86.15990280383434,28.117109049176,-100.3988653582969,75.69302161646547
332.03125,-84.10446954244787,15.02099364177702,-105.7625579225349,144.9615400479411
334.47265625,-84.03772140735165,16.25596601100671,-101.3998171295134,134.7766823803071
336.9140625,-89.37432038383884,65.84016415937967,-91.7311094916964,101.0980510781915
339.35546875,-86.21714180530928,128.0586394039143,-86.9559084511701,91.56547287502565
341.796875,-83.3317754619647,135.7835257363625,-85.23094415391716,85.75099554672215
344.23828125,-80.84983677226957,134.2527480126524,-85.82700829010543,82.09219876441861
346.6796875,-80.36339773433639,126.9335107639943,-89.98190502118251,83.93652607036452
349.12109375,-81.16323276439812,126.2246366033669,-98.23504951203856,54.97662389148127
351.5625,-82.92114267086521,130.0397416311733,-93.65312811760307,154.1784924862452
354.00390625,-84.35034228960446,113.442013983679,-88.97539057433498,117.550087113933
356.4453125,-86.72017123326511,112.7899171162178,-84.35651082538088,99.08851360231178
358.88671875,-106.2091412685982,67.93709599746592,-81.99283737395183,98.4395327788006
361.328125,-84.23442760994095,121.0406107661288,-81.69287844924571,101.962582831606
363.76953125,-80.06790285719951,113.4540131295961,-81.90892613388429,110.672338401976
366.2109375,-78.27141362349738,120.6576108310666,-83.58724162339831,124.2926625199614
