#Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-46.96808856477595,0,-52.02793282762695,180
2.44140625,-47.31187969647485,179.0383845161162,-52.30975918458348,0.1552450265889281
4.8828125,-50.67345688495376,177.4284817192355,-55.72852273085864,0.05611477328869171
7.32421875,-60.46444263399405,175.9063730583506,-65.86165539350043,0.4985845863959804
9.765625,-79.55274543390442,26.54860716238225,-84.14696169779889,3.211541604338966
12.20703125,-81.10423277183659,79.49713517945985,-89.03620831293829,158.3836880733599
14.6484375,-83.4123333832501,96.89537676651607,-91.22116916466803,136.5084164400665
17.08984375,-84.04586419027133,154.5166867896496,-95.53911586989759,80.13743322433986
19.53125,-81.42682887591536,21.20612428086799,-98.74939625413384,22.18634563199631
21.97265625,-82.34765253076402,36.93664967769222,-89.50559125415195,126.2553734345919
24.4140625,-97.27193356325698,5.890200865587414,-83.29218613652787,129.0296171984631
26.85546875,-87.2034660106049,72.74295821726784,-81.25629828827472,124.2023069505409
29.296875,-82.93441133211311,55.23024749990691,-81.11721546041875,114.7079707073151
31.73828125,-81.2609976573966,39.23581573156833,-82.60092083193207,113.6659270739206
34.1796875,-88.34054986589541,54.11625939824,-84.9886127600156,101.8456021582313
36.62109375,-89.50323993594581,171.9227105347168,-85.55987669046203,81.25456825900194
39.0625,-89.56761244255026,135.893015545722,-85.41757997291724,80.99830441429135
41.50390625,-83.21477301133265,75.87793583061556,-85.57597420161892,80.18219943916374
43.9453125,-79.30118292422181,55.8523904822331,-90.65917520976505,61.9216825601428
46.38671875,-76.31911814456258,47.81699398154392,-95.44050076206331,104.9450387268394
48.828125,-75.83164496275148,47.91176959187362,-87.57512999368195,83.25893889460079
51.26953125,-78.83342405077474,53.62110432198705,-83.05915505008156,90.85498087337167
53.7109375,-83.16953421992922,83.58428627578577,-81.087972857002,85.3248874903325
56.15234375,-82.11427675180519,135.1267916040492,-83.69744854125162,70.33614677838935
58.59375,-79.63904965001475,152.5122809499406,-88.81073726555506,73.51792252748275
61.03515625,-79.3877362718127,151.8595933966466,-92.84382721341819,103.3696601123488
63.4765625,-79.9684916106784,153.8673485832484,-100.1656188359353,156.6632962192261
65.91796875,-82.2274825577355,151.7685490801389,-92.60775594879769,21.63324561182001
68.359375,-82.38266519929503,133.6125032419754,-87.27780194422196,12.33308511258739
70.80078125,-80.33725610282703,139.0123702636954,-85.23189149174249,1.030631376343562
73.2421875,-80.76604622630769,140.5563489836831,-83.42747269639918,176.2796871890955
75.68359375,-80.40053237233961,124.1075506913539,-81.68138462199501,174.9175903814275
78.125,-79.32627737638546,122.2710543656918,-80.58320304993225,170.053276047619
80.56640625,-79.12296845001148,121.0469743754875,-80.79499497456152,170.6537771258083
83.0078125,-79.18147761579453,120.8573845864193,-81.98435558725134,169.4313321946713
85.44921875,-80.63305628409928,139.8077688792045,-82.83307367132487,162.5373870422039
